Collection Date	Strain Name	Latitude	Longitude
02/23/2012	-N/A-	17.71236	103.34235
09/25/2013	-N/A-	13.90872	102.56153
07/29/2009	-N/A-	15.896772	100.311356
09/21/2009	-N/A-	13.801369	100.550103
11/20/2009	-N/A-	13.719089	100.561011
11/20/2009	-N/A-	13.719089	100.561011
06/28/2012	-N/A-	17.353889	100.232778
06/28/2012	-N/A-	17.353889	100.232778
05/26/2010	-N/A-	15.16538	100.33463
06/28/2012	-N/A-	17.353889	100.232778
10/20/2009	Unknown(HXNX)	16.605739	100.342589
05/26/2010	-N/A-	15.17572	100.33361
05/26/2010	-N/A-	15.17572	100.33361
09/15/2010	-N/A-	15.48329	101.90404
09/15/2010	-N/A-	15.48329	101.90404
09/16/2010	-N/A-	16.52161	100.34384
01/18/2011	A/duck/Thailand/CU-10518C/2011(H7N4)	15.89668	100.13923
01/18/2011	-N/A-	15.89668	100.13923
01/18/2011	-N/A-	15.89668	100.13923
06/17/2010	-N/A-	16.74543	100.23202
02/23/2011	-N/A-	16.43194	100.34381
02/23/2011	-N/A-	16.43194	100.34381
09/22/2011	-N/A-	16.97832	100.01101
09/22/2011	-N/A-	16.97832	100.01101
12/20/2011	A/duck/Thailand/CU-11824T/2011(H3N6),A/duck/Thailand/CU-11824C/2011(H3N6)	16.1368	99.73225
12/20/2011	A/duck/Thailand/CU-11838T/2011(H4N6),A/duck/Thailand/CU-11838C/2011(H4N6)	16.14514	99.7657
12/20/2011	A/duck/Thailand/CU-11839T/2011(H4N6)	16.14514	99.7657
12/20/2011	A/duck/Thailand/CU-11841C/2011(H4N6)	16.14514	99.7657
12/20/2011	-N/A-	16.14625	99.77969
12/22/2011	-N/A-	16.54948	100.48838
01/25/2012	-N/A-	16.55738	100.48433
02/06/2012	-N/A-	16.57778	100.14611
02/06/2012	-N/A-	16.00833	100.37611
02/08/2012	A/duck/Thailand/CU-12206C/2012(H5N8)	16.68332	99.90711
02/08/2012	-N/A-	16.64756	99.9736
02/28/2012	-N/A-	16.48898	100.37708
10/19/2012	-N/A-	14.515833	100.305833
11/14/2012	-N/A-	14.277917	100.080875
12/19/2012	-N/A-	14.184167	99.783333
12/19/2012	-N/A-	14.184167	99.783333
12/19/2012	-N/A-	14.184167	99.783333
01/23/2013	-N/A-	14.130639	99.705611
02/27/2013	-N/A-	15.973365	99.680409
03/06/2013	-N/A-	16.817694	100.065222
03/06/2013	-N/A-	16.801944	100.028889
08/30/2013	A/duck/Thailand/CU-13600C/2013(H4N6)	14.28135	100.10803
08/30/2013	Unknown(HXNX)	14.28135	100.10803
09/10/2013	-N/A-	14.24424	100.38176
12/23/2013	-N/A-	16.08504	99.80738
12/23/2013	-N/A-	16.25734	99.73557
12/23/2013	-N/A-	16.30283	99.73878
01/28/2014	-N/A-	16.52393	100.23824
09/11/2012	-N/A-	14.175278	100.285833
01/25/2008	A/chicken/Thailand/NS-339/2008(H5N1)	15.871732	100.279899
02/04/2008	A/chicken/Thailand/NS-341/2008(H5N1),A/chicken/Thailand/NS-342/2008(H5N1)	15.906	100.262842
04/26/2009	Unknown(HXNX)	15.896772	100.311356
05/25/2010	-N/A-	15.09556	100.85319
07/13/2010	-N/A-	14.3179	99.56626
07/13/2010	-N/A-	14.32245	99.56744
07/14/2010	-N/A-	14.44778	99.51866
08/18/2010	-N/A-	16.3742	100.17846
10/28/2010	-N/A-	16.46929	99.88214
12/22/2010	-N/A-	15.36834	99.68446
01/25/2011	-N/A-	13.05242	100.56101
01/25/2011	-N/A-	13.05824	100.49368
02/23/2012	-N/A-	17.71196	103.34223
07/05/2012	-N/A-	17.440056	100.140667
02/04/2014	-N/A-	16.86681	100.18167
07/29/2009	-N/A-	16.002181	100.591661
10/20/2010	-N/A-	13.05242	100.56101
11/03/2010	A/duck/Thailand/CU-LM7289C/2010(H7N6)	16.74543	100.23202
11/03/2010	-N/A-	16.74543	100.23202
12/16/2009	-N/A-	16.745433	100.232019
09/05/2012	-N/A-	16.70469	100.181567
07/23/2010	-N/A-	16.74543	100.23202
09/23/2010	-N/A-	16.74543	100.23202
10/07/2010	-N/A-	16.74543	100.23202
10/15/2010	-N/A-	13.05242	100.56101
11/03/2010	A/duck/Thailand/CU-LM7297T/2010(H7N6)	16.74543	100.23202
11/03/2010	A/duck/Thailand/CU-LM7301T/2010(H7N6)	16.74543	100.23202
11/02/2010	-N/A-	17.31564	99.54588
11/18/2010	-N/A-	13.05242	100.56101
12/08/2010	-N/A-	13.05242	100.56101
12/14/2010	-N/A-	16.74543	100.23202
12/28/2010	-N/A-	16.43194	100.34381
12/28/2010	-N/A-	16.43194	100.34381
01/11/2011	-N/A-	16.43194	100.34381
01/25/2011	-N/A-	13.05824	100.49368
01/27/2011	-N/A-	16.43194	100.34381
01/27/2011	-N/A-	16.43194	100.34381
01/27/2011	-N/A-	16.43194	100.34381
01/27/2011	-N/A-	16.43194	100.34381
01/27/2011	-N/A-	16.43194	100.34381
01/27/2011	-N/A-	16.74543	100.23202
09/21/2009	-N/A-	13.801369	100.550103
10/28/2009	-N/A-	16.745433	100.232019
11/20/2009	-N/A-	13.719089	100.561011
11/20/2009	-N/A-	13.719089	100.561011
11/20/2009	-N/A-	13.719089	100.561011
12/02/2009	-N/A-	16.745433	100.232019
09/15/2010	-N/A-	15.48329	101.90404
09/16/2010	-N/A-	16.0436	100.11051
10/28/2010	-N/A-	16.4715	99.87824
12/07/2010	-N/A-	16.78477	100.03818
12/22/2010	-N/A-	15.95189	100.30928
12/22/2010	A/duck/Thailand/CU-9744C /2010(H7N4)	15.93383	100.14821
01/18/2011	A/duck/Thailand/CU-10510C/2011(H7N4)	15.89668	100.13923
01/18/2011	A/duck/Thailand/CU-10512C/2011(H7N4)	15.89668	100.13923
01/18/2011	-N/A-	15.89668	100.13923
01/18/2011	A/duck/Thailand/CU-10525T/2011(H7N4)	15.89668	100.13923
01/18/2011	A/duck/Thailand/CU-10534C/2011(H7N4)	15.89668	100.13923
02/23/2011	-N/A-	16.43194	100.34381
02/23/2011	-N/A-	16.43194	100.34381
02/23/2011	-N/A-	16.43194	100.34381
12/20/2011	A/duck/Thailand/CU-11826C/2011(H3N6)	16.1368	99.73225
12/20/2011	A/duck/Thailand/CU-11830C/2011(H3N6),A/duck/Thailand/CU-11830T/2011(H3N6)	16.1368	99.73225
12/20/2011	A/duck/Thailand/CU-11843C/2011(H4N6)	16.14514	99.7657
12/20/2011	-N/A-	16.14625	99.77969
12/20/2011	-N/A-	16.23261	99.79467
12/20/2011	-N/A-	16.25722	99.73561
01/19/2012	-N/A-	15.84451	100.26301
02/28/2012	-N/A-	16.48898	100.37708
10/19/2012	-N/A-	14.515833	100.305833
10/19/2012	-N/A-	14.515833	100.305833
01/23/2013	-N/A-	14.159222	99.753639
02/27/2013	-N/A-	16.055556	99.854722
03/06/2013	-N/A-	16.827556	100.048528
05/16/2013	-N/A-	13.97783	101.81978
05/16/2013	-N/A-	13.97783	101.81978
05/16/2013	-N/A-	13.97783	101.81978
08/30/2013	-N/A-	14.24985	100.11212
09/10/2013	A/duck/Thailand/CU-13738C/2013(H4N6)	14.24424	100.38176
12/23/2013	-N/A-	16.08504	99.80738
12/23/2013	-N/A-	16.25734	99.73557
01/28/2014	-N/A-	16.62864	100.3122
02/19/2014	-N/A-	16.90714	99.94594
05/25/2010	-N/A-	15.08724	100.856
05/25/2010	-N/A-	15.08724	100.856
05/26/2010	-N/A-	15.41171	100.64764
06/11/2010	-N/A-	14.54189	101.01361
07/13/2010	-N/A-	14.31819	99.56406
12/22/2010	-N/A-	14.43522	100.56642
12/22/2010	-N/A-	14.43522	100.56642
03/18/2011	-N/A-	14.42964	100.55859
10/20/2010	-N/A-	13.05242	100.56101
12/08/2010	-N/A-	13.05824	100.49368
07/04/2012	-N/A-	17.49975	100.1195
07/05/2012	-N/A-	17.441889	100.138917
11/20/2012	-N/A-	16.09325	100.548833
05/16/2013	-N/A-	13.98055	101.82426
02/04/2014	-N/A-	16.86427	100.18279
08/12/2009	-N/A-	17.045119	100.204897
11/03/2010	A/duck/Thailand/CU-LM7279T/2010(H7N6)	16.74543	100.23202
11/03/2010	A/duck/Thailand/CU-LM7280C/2010(H7N6)	16.74543	100.23202
11/03/2010	A/duck/Thailand/CU-LM7291T/2010(H7N6),A/duck/Thailand/CU-LM7291C/2010(H7N6)	16.74543	100.23202
11/25/2009	-N/A-	16.745433	100.232019
12/09/2009	-N/A-	16.745433	100.232019
12/16/2009	-N/A-	16.745433	100.232019
09/05/2012	-N/A-	16.70469	100.181567
07/22/2010	-N/A-	13.05242	100.56101
08/19/2010	-N/A-	16.74543	100.23202
09/02/2010	-N/A-	16.74543	100.23202
09/02/2010	-N/A-	16.74543	100.23202
10/07/2010	-N/A-	16.74543	100.23202
