X	Y	T
15.89668	100.13923	4036
15.89668	100.13923	4036
16.74543	100.23202	3821
16.08974	100.19873	4071
16.43194	100.34381	4072
13.801369	100.550103	3552
16.745433	100.232019	3582
13.719089	100.561011	3612
15.16538	100.33463	3799
15.16538	100.33463	3799
15.77286	100.10217	3913
15.95963	100.01906	4002
15.93383	100.14821	4009
15.89668	100.13923	4036
15.83241	100.00318	4036
16.43194	100.34381	4072
17.00232	99.98272	4283
16.1368	99.73225	4372
16.1368	99.73225	4372
16.25722	99.73561	4372
16.68332	99.90711	4422
16.64756	99.9736	4422
16.75441	99.97545	4422
16.25377	99.67489	4443
14.506389	100.3075	4676
14.506389	100.3075	4676
14.512222	100.308056	4676
14.277917	100.080875	4702
14.184167	99.783333	4737
14.159222	99.753639	4772
16.805556	100.154722	4814
16.801944	100.028889	4814
16.391944	100.165	4821
13.97783	101.81978	4885
14.24985	100.11212	4991
14.28135	100.10803	4991
14.08223	100.22224	5019
16.08504	99.80738	5106
16.30283	99.73878	5106
14.175278	100.285833	4638
15.353219	99.658983	3241
15.82073	99.69956	3882
16.3742	100.17846	3883
16.37229	100.17856	3883
15.48242	101.90037	3911
15.48358	101.85306	3911
16.50872	100.46329	3953
16.46929	99.88214	3954
16.74543	100.23202	3988
13.07296	100.51006	3995
13.05824	100.49368	3995
13.48238	101.17192	4375
16.86427	100.18279	5149
13.719089	100.561011	3612
16.47002	99.88017	3954
14.43522	100.56642	4009
14.42753	100.47393	4012
14.43363	100.56369	4029
14.83489	99.70102	4086
14.42964	100.55859	4095
14.42964	100.55859	4095
16.74543	100.23202	3751
13.05242	100.56101	3876
16.74543	100.23202	3919
13.05824	100.49368	4043
16.89098	100.25515	4058
16.08953	100.19915	4072
13.90872	102.56153	5017
13.89489	102.56661	5017
15.865127	100.575725	3484
16.74543	100.23202	3960
16.74543	100.23202	3960
13.05242	100.56101	3833
13.05242	100.56101	3876
16.74543	100.23202	3884
16.74543	100.23202	3898
16.74543	100.23202	3933
16.74543	100.23202	3933
13.05242	100.56101	3946
16.74543	100.23202	3960
15.89732	100.26994	3960
15.89487	100.26988	3960
13.05824	100.49368	3995
16.74543	100.23202	4001
16.74543	100.23202	4001
16.43194	100.34381	4015
16.74543	100.23202	4029
16.43194	100.34381	4045
16.43194	100.34381	4045
16.74543	100.23202	4058
16.08953	100.19915	4071
13.1347	100.5501	4074
13.05242	100.56101	4094
17.505389	100.121194	4569
15.896772	100.311356	3498
13.05242	100.56101	3903
16.74543	100.23202	3919
16.74543	100.23202	3933
16.74543	100.23202	3960
13.05824	100.49368	3995
16.74543	100.23202	4015
16.43194	100.34381	4029
13.05824	100.49368	4043
16.43194	100.34381	4045
16.43194	100.34381	4045
13.05824	100.49368	4064
17.71578	103.30084	4437
13.801369	100.550103	3552
13.801369	100.550103	3552
13.801369	100.550103	3552
16.745433	100.232019	3589
17.353889	100.232778	4563
15.09556	100.85319	3798
16.35768	100.25654	3883
15.77286	100.10217	3913
16.78477	100.03818	3994
15.89668	100.13923	4036
15.10702	99.53986	4085
15.10702	99.53986	4085
16.1368	99.73225	4372
16.14514	99.7657	4372
16.23261	99.79467	4372
16.25722	99.73561	4372
16.64756	99.9736	4422
16.48898	100.37708	4442
16.48898	100.37708	4442
16.25377	99.67489	4443
16.25377	99.67489	4443
16.25377	99.67489	4443
16.25377	99.67489	4443
13.936667	100.014444	4653
13.936667	100.014444	4653
14.506389	100.3075	4676
14.506389	100.3075	4676
14.506389	100.3075	4676
14.515833	100.305833	4676
14.184167	99.783333	4737
14.155153	99.74855	4801
16.805556	100.154722	4814
16.805556	100.154722	4814
14.24985	100.11212	4991
15.41224	100.64459	3799
14.42794	99.51006	3848
16.37229	100.17856	3883
16.57778	100.14611	4420
16.25377	99.67489	4443
16.25377	99.67489	4443
16.25377	99.67489	4443
16.48341	100.37568	4457
14.046944	100.016389	4653
14.506389	100.3075	4676
14.506389	100.3075	4676
14.506389	100.3075	4676
14.512222	100.308056	4676
14.277917	100.080875	4702
14.116111	99.716111	4737
14.184167	99.783333	4737
16.817694	100.065222	4814
16.827556	100.048528	4814
16.391944	100.165	4821
16.827444	100.048611	4821
14.28135	100.10803	4991
14.28135	100.10803	4991
14.24424	100.38176	5002
16.08504	99.80738	5106
16.08504	99.80738	5106
15.09556	100.85319	3798
14.42753	100.47393	4012
15.10628	99.54308	4085
14.83489	99.70102	4086
14.83489	99.70102	4086
14.42964	100.55859	4095
13.05242	100.56101	3941
17.49975	100.1195	4569
13.90872	102.56153	5017
16.86427	100.18279	5149
16.43194	100.34381	3960
16.70469	100.181567	4632
13.05242	100.56101	3876
16.74543	100.23202	3898
16.74543	100.23202	3898
16.70469	100.181567	4632
16.70469	100.181567	4632
13.05242	100.56101	3856
16.74543	100.23202	3857
13.05242	100.56101	3876
16.74543	100.23202	3898
16.74543	100.23202	3933
13.05242	100.56101	3946
16.74543	100.23202	3973
15.09556	100.85319	3798
15.41171	100.64764	3799
15.89487	100.26988	3960
16.43194	100.34381	3987
13.05824	100.49368	3995
16.43194	100.34381	4015
16.43194	100.34381	4015
16.74543	100.23202	4029
16.43194	100.34381	4045
16.74543	100.23202	4045
16.90991	100.19027	4046
13.1347	100.5501	4074
13.1347	100.5501	4074
13.1347	100.5501	4074
13.05242	100.56101	4094
13.97783	101.81978	4885
13.719089	100.561011	3457
13.801369	100.550103	3552
13.719089	100.561011	3612
13.719089	100.561011	3612
16.745433	100.232019	3624
15.22822	100.31565	3799
16.0436	100.11051	3912
